问题 ID,说明,状态,严重性,故事点,项目路径,位置种类,路径,折线图,列,事件 ID,帮助链接,程序集名称,程序集版本,程序集公钥,片段
Project.0001,项目文件需要转换为 SDK 样式。,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\BLE48Test1.csproj,,,,,,,,
Project.0002,需要更改项目的目标框架,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\BLE48Test1.csproj,,,,,,,,"当前目标框架: .NETFramework,Version=v4.8 建议的目标框架: net8.0-windows"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\Devices\VirtualPad.cs,193,27,T:System.IO.Ports.SerialPort,,,,,port
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\Devices\VirtualPad.cs,143,8,T:System.IO.Ports.SerialDataReceivedEventArgs,,,,,"private void VitrualPadPort_DataReceived(object sender, SerialDataReceivedEventArgs e)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\Devices\VirtualPad.cs,152,20,T:System.IO.Ports.SerialPort,,,,,"int num = this.port.Read(readData, 0, 4096);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\Devices\VirtualPad.cs,152,20,"M:System.IO.Ports.SerialPort.Read(System.Byte[],System.Int32,System.Int32)",,,,,"int num = this.port.Read(readData, 0, 4096);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\Devices\VirtualPad.cs,149,16,T:System.IO.Ports.SerialPort,,,,,bool flag = !this.port.IsOpen;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\Devices\VirtualPad.cs,149,16,P:System.IO.Ports.SerialPort.IsOpen,,,,,bool flag = !this.port.IsOpen;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\Devices\VirtualPad.cs,145,12,T:System.IO.Ports.SerialPort,,,,,this.WaitBytesToReadFixedness(this.port);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\Devices\VirtualPad.cs,116,20,T:System.IO.Ports.SerialPort,,,,,this.port.Close();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\Devices\VirtualPad.cs,116,20,M:System.IO.Ports.SerialPort.Close,,,,,this.port.Close();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\Devices\VirtualPad.cs,113,16,T:System.IO.Ports.SerialPort,,,,,bool flag3 = this.port != null && this.port.IsOpen;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\Devices\VirtualPad.cs,113,16,P:System.IO.Ports.SerialPort.IsOpen,,,,,bool flag3 = this.port != null && this.port.IsOpen;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\Devices\VirtualPad.cs,113,16,T:System.IO.Ports.SerialPort,,,,,bool flag3 = this.port != null && this.port.IsOpen;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\Devices\VirtualPad.cs,106,16,T:System.IO.Ports.SerialPort,,,,,this.port.Close();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\Devices\VirtualPad.cs,106,16,M:System.IO.Ports.SerialPort.Close,,,,,this.port.Close();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\Devices\VirtualPad.cs,78,20,T:System.IO.Ports.SerialPort,,,,,"this.port.Write(send2, 0, send2.Length);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\Devices\VirtualPad.cs,78,20,"M:System.IO.Ports.SerialPort.Write(System.Byte[],System.Int32,System.Int32)",,,,,"this.port.Write(send2, 0, send2.Length);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\Devices\VirtualPad.cs,71,20,T:System.IO.Ports.SerialPort,,,,,"this.port.Write(send, 0, send.Length);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\Devices\VirtualPad.cs,71,20,"M:System.IO.Ports.SerialPort.Write(System.Byte[],System.Int32,System.Int32)",,,,,"this.port.Write(send, 0, send.Length);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\Devices\VirtualPad.cs,63,16,T:System.IO.Ports.SerialPort,,,,,this.port.Open();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\Devices\VirtualPad.cs,63,16,M:System.IO.Ports.SerialPort.Open,,,,,this.port.Open();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\Devices\VirtualPad.cs,62,16,T:System.IO.Ports.SerialPort,,,,,this.port.DataReceived += new SerialDataReceivedEventHandler(this.VitrualPadPort_DataReceived);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\Devices\VirtualPad.cs,62,16,T:System.IO.Ports.SerialDataReceivedEventHandler,,,,,this.port.DataReceived += new SerialDataReceivedEventHandler(this.VitrualPadPort_DataReceived);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\Devices\VirtualPad.cs,62,16,T:System.IO.Ports.SerialDataReceivedEventHandler,,,,,this.port.DataReceived += new SerialDataReceivedEventHandler(this.VitrualPadPort_DataReceived);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\Devices\VirtualPad.cs,62,16,E:System.IO.Ports.SerialPort.DataReceived,,,,,this.port.DataReceived += new SerialDataReceivedEventHandler(this.VitrualPadPort_DataReceived);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\Devices\VirtualPad.cs,61,16,T:System.IO.Ports.SerialPort,,,,,this.port.BaudRate = 9600;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\Devices\VirtualPad.cs,61,16,P:System.IO.Ports.SerialPort.BaudRate,,,,,this.port.BaudRate = 9600;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\Devices\VirtualPad.cs,60,16,T:System.IO.Ports.SerialPort,,,,,this.port.PortName = this.COM;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\Devices\VirtualPad.cs,60,16,P:System.IO.Ports.SerialPort.PortName,,,,,this.port.PortName = this.COM;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\Devices\VirtualPad.cs,59,16,T:System.IO.Ports.SerialPort,,,,,this.port = new SerialPort();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\Devices\VirtualPad.cs,59,16,M:System.IO.Ports.SerialPort.#ctor,,,,,this.port = new SerialPort();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\Devices\VirtualPad.cs,59,16,T:System.IO.Ports.SerialPort,,,,,this.port = new SerialPort();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\Devices\VirtualPad.cs,16,8,T:System.IO.Ports.SerialPort,,,,,protected void WaitBytesToReadFixedness(SerialPort com_Pace)
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\Devices\VirtualPad.cs,31,20,P:System.IO.Ports.SerialPort.BytesToRead,,,,,newbtr = com_Pace.BytesToRead;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\Devices\VirtualPad.cs,26,20,P:System.IO.Ports.SerialPort.IsOpen,,,,,bool isOpen = com_Pace.IsOpen;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\Devices\VirtualPad.cs,18,12,P:System.IO.Ports.SerialPort.BytesToRead,,,,,int btr = com_Pace.BytesToRead;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\Properties\Settings.Designer.cs,15,74,M:System.Configuration.ApplicationSettingsBase.#ctor,,,,,ApplicationSettingsBase
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\Properties\Settings.Designer.cs,15,74,T:System.Configuration.ApplicationSettingsBase,,,,,ApplicationSettingsBase
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\UserControlBase.cs,77,16,T:System.Windows.Forms.ListBox,,,,,listboxMessage.SelectedIndex = -1;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\UserControlBase.cs,77,16,P:System.Windows.Forms.ListBox.SelectedIndex,,,,,listboxMessage.SelectedIndex = -1;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\UserControlBase.cs,76,16,T:System.Windows.Forms.ListBox,,,,,listboxMessage.SelectedIndex = listboxMessage.Items.Count - 1;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\UserControlBase.cs,76,16,T:System.Windows.Forms.ListBox.ObjectCollection,,,,,listboxMessage.SelectedIndex = listboxMessage.Items.Count - 1;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\UserControlBase.cs,76,16,P:System.Windows.Forms.ListBox.Items,,,,,listboxMessage.SelectedIndex = listboxMessage.Items.Count - 1;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\UserControlBase.cs,76,16,P:System.Windows.Forms.ListBox.ObjectCollection.Count,,,,,listboxMessage.SelectedIndex = listboxMessage.Items.Count - 1;
